Część;Dział;Rozdział;Treść;Plan;id;parent;label;super_label;Treść_część;Treść_dział
84;;;ŚRODKI WŁASNE UNII EUROPEJSKIEJ;33072735;84;total;33.1 MLD;ŚRODKI WŁASNE UNII EUROPEJSKIEJ 33.1 MLD;ŚRODKI WŁASNE UNII EUROPEJSKIEJ;ŚRODKI WŁASNE UNII EUROPEJSKIEJ
84;758;;Różne rozliczenia;33072735;84-758;84;33.1 MLD;Różne rozliczenia 33.1 MLD;ŚRODKI WŁASNE UNII EUROPEJSKIEJ;Różne rozliczenia
84;758;75850;Rozliczenia z budżetem ogólnym Unii Europejskiej z tytułu środków własnych;33072735;84-758-75850;84-758;33.1 MLD;Rozliczenia z budżetem ogólnym Unii Europejskiej z tytułu środków własnych 33.1 MLD;ŚRODKI WŁASNE UNII EUROPEJSKIEJ;Różne rozliczenia
85;;;BUDŻETY WOJEWODÓW OGÓŁEM;34672162;85;total;34.7 MLD;BUDŻETY WOJEWODÓW OGÓŁEM 34.7 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;BUDŻETY WOJEWODÓW OGÓŁEM
85;010;;Rolnictwo i łowiectwo;2207898;85-010;85;2.2 MLD;Rolnictwo i łowiectwo 2.2 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01005;Prace geodezyjno-urządzeniowe na potrzeby rolnictwa;311928;85-010-01005;85-010;311.9 MLN;Prace geodezyjno-urządzeniowe na potrzeby rolnictwa 311.9 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01009;Spółki wodne;4736;85-010-01009;85-010;4.7 MLN;Spółki wodne 4.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01022;Zwalczanie chorób zakaźnych zwierząt oraz badania monitoringowe pozostałości chemicznych i biologicznych w tkankach zwierząt i produktach pochodzenia zwierzęcego;388382;85-010-01022;85-010;388.4 MLN;Zwalczanie chorób zakaźnych zwierząt oraz badania monitoringowe pozostałości chemicznych i biologicznych w tkankach zwierząt i produktach pochodzenia zwierzęcego 388.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01023;Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych;66781;85-010-01023;85-010;66.8 MLN;Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych 66.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01032;Państwowa Inspekcja Ochrony Roślin i Nasiennictwa;210943;85-010-01032;85-010;210.9 MLN;Państwowa Inspekcja Ochrony Roślin i Nasiennictwa 210.9 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01033;Wojewódzkie inspektoraty weterynarii;202366;85-010-01033;85-010;202.4 MLN;Wojewódzkie inspektoraty weterynarii 202.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01034;Powiatowe inspektoraty weterynarii;851059;85-010-01034;85-010;851.1 MLN;Powiatowe inspektoraty weterynarii 851.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01041;Program Rozwoju Obszarów Wiejskich;129555;85-010-01041;85-010;129.6 MLN;Program Rozwoju Obszarów Wiejskich 129.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;010;01095;Pozostała działalność;42148;85-010-01095;85-010;42.1 MLN;Pozostała działalność 42.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rolnictwo i łowiectwo
85;020;;Leśnictwo;6677;85-020;85;6.7 MLN;Leśnictwo 6.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Leśnictwo
85;020;02001;Gospodarka leśna;6003;85-020-02001;85-020;6.0 MLN;Gospodarka leśna 6.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Leśnictwo
85;020;02095;Pozostała działalność;674;85-020-02095;85-020;0.7 MLN;Pozostała działalność 0.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Leśnictwo
85;050;;Rybołówstwo i rybactwo;39569;85-050;85;39.6 MLN;Rybołówstwo i rybactwo 39.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rybołówstwo i rybactwo
85;050;05003;Państwowa Straż Rybacka;35155;85-050-05003;85-050;35.2 MLN;Państwowa Straż Rybacka 35.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rybołówstwo i rybactwo
85;050;05011;Program Operacyjny Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007–2013, Program Operacyjny Rybactwo i Morze 2014–2020 oraz Program Fundusze Europejskie dla Rybactwa;4148;85-050-05011;85-050;4.1 MLN;Program Operacyjny Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007–2013, Program Operacyjny Rybactwo i Morze 2014–2020 oraz Program Fundusze Europejskie dla Rybactwa 4.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rybołówstwo i rybactwo
85;050;05095;Pozostała działalność;266;85-050-05095;85-050;0.3 MLN;Pozostała działalność 0.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rybołówstwo i rybactwo
85;100;;Górnictwo i kopalnictwo;926;85-100;85;0.9 MLN;Górnictwo i kopalnictwo 0.9 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Górnictwo i kopalnictwo
85;100;10095;Pozostała działalność;926;85-100-10095;85-100;0.9 MLN;Pozostała działalność 0.9 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Górnictwo i kopalnictwo
85;500;;Handel;103835;85-500;85;103.8 MLN;Handel 103.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Handel
85;500;50001;Inspekcja Handlowa;103835;85-500-50001;85-500;103.8 MLN;Inspekcja Handlowa 103.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Handel
85;600;;Transport i łączność;990072;85-600;85;990.1 MLN;Transport i łączność 990.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Transport i łączność
85;600;60003;Krajowe pasażerskie przewozy autobusowe;633610;85-600-60003;85-600;633.6 MLN;Krajowe pasażerskie przewozy autobusowe 633.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Transport i łączność
85;600;60031;Przejścia graniczne;217034;85-600-60031;85-600;217.0 MLN;Przejścia graniczne 217.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Transport i łączność
85;600;60055;Inspekcja Transportu Drogowego;133846;85-600-60055;85-600;133.8 MLN;Inspekcja Transportu Drogowego 133.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Transport i łączność
